слово,происхождение
авансировать,заимствованное
авансироваться,русское
авансовыя,заимствованное
авансцена,заимствованное
авантюра,заимствованное
авантюризм,заимствованное
авантюрист,заимствованное
авантюристическия,русское
авантюристския,русское
авантюрный,заимствованное
аварииноспасательный,русское
аварииность,русское
аварииный,заимствованное
авария,заимствованное
аватар,заимствованное
аватарка,заимствованное
авеню,заимствованное
аверс,заимствованное
ави,заимствованное
авиа,заимствованное
авиабаза,русское
авиабилет,русское
авиабомба,русское
авиагоризонт,русское
авиадесант,русское
авиадесантник,русское
авиакатастрофа,русское
авиаконструктор,русское
авиалаинер,заимствованное
авиалиния,русское
авиамоделизм,русское
авиамодель,русское
авиамотор,русское
авианесущие,русское
авианосец,русское
авиапассажир,русское
авиапочта,русское
авиаработник,русское
авиаремонтный,русское
авиастроение,русское
авиастроитель,русское
авиатакси,заимствованное
авиатор,заимствованное
авиатранспорт,русское
авиатрасса,русское
авиационный,заимствованное
авиация,заимствованное
авиашоу,заимствованное
авизировать,заимствованное
авизо,заимствованное
авизование,заимствованное
авизовать,русское
авизовыя,заимствованное
авист,заимствованное
авитаминоз,заимствованное
авитаминозный,заимствованное
авифауна,заимствованное
авновероятный,русское
аво,русское
авокадо,заимствованное
авоотношение,русское
авоохранение,русское
авоохранитель,русское
аворадикализм,русское
авоцентризм,русское
авпочтамт,русское
авраамическия,заимствованное
аврал,заимствованное
авральный,заимствованное
авсостав,русское
австралопитек,заимствованное
автаркия,заимствованное
авто,заимствованное
автобаза,русское
автобан,заимствованное
автобиографическия,русское
автобиография,русское
автоблокировка,русское
автобронет,русское
автобус,заимствованное
автобусный,заимствованное
автовокзал,русское
автовышка,русское
автоген,заимствованное
автогенез,заимствованное
автогенный,заимствованное
автогол,заимствованное
автограф,русское
автогужевой,русское
автодиспетчер,русское
автодорожник,русское
автодорожный,русское
автодром,заимствованное
автодромный,заимствованное
автожир,заимствованное
автозавод,русское
автозаправка,русское
автозаправщик,русское
автоинспектор,русское
автоинспекция,русское
автоинформатор,русское
автокар,заимствованное
автокатастрофа,русское
автокефалия,заимствованное
автокефальный,заимствованное
автоклав,заимствованное
автоклавирование,заимствованное
автоклавный,заимствованное
автоклуб,русское
автоколонна,русское
автокран,русское
автократ,заимствованное
автократическия,заимствованное
автократичный,заимствованное
автократия,заимствованное
автокросс,русское
автол,заимствованное
автолавка,русское
автолюбитель,русское
автом,русское
автомагазин,русское
автомагистраль,заимствованное
автомагнитола,русское
автомаршрут,русское
автомат,заимствованное
автоматизация,заимствованное
автоматизированный,заимствованное
автоматизировать,заимствованное
автоматизироваться,русское
автоматизм,заимствованное
автоматизя,русское
автоматика,заимствованное
автоматическия,заимствованное
автоматичный,заимствованное
автоматный,заимствованное
автоматчик,русское
автомашина,заимствованное
автомиксис,заимствованное
автомоб,русское
автомобилизация,русское
автомобилизм,заимствованное
автомобилист,заимствованное
автомобиль,заимствованное
автомобильный,заимствованное
автомодель,русское
автомотриса,русское
автономизация,заимствованное
автономия,заимствованное
автономный,заимствованное
автообслуживание,русское
автоответчик,русское
автопарк,русское
автопилот,заимствованное
автопогрузчик,русское
автопоезд,русское
автопоилка,русское
автопортрет,русское
автор,заимствованное
авторемонтный,русское
автореферат,русское
авторизационный,заимствованное
авторизация,заимствованное
авторизировать,заимствованное
авторизироваться,заимствованное
авторизовать,заимствованное
авторизоваться,заимствованное
авторитаризм,заимствованное
авторитарист,заимствованное
авторитарный,заимствованное
авторитет,заимствованное
авторитетный,заимствованное
авторския,заимствованное
авторство,заимствованное
авторулевой,русское
авторучка,русское
авторынок,русское
автосервис,русское
автост,русское
автостанция,русское
автостоянка,русское
автострада,заимствованное
автостраховщик,русское
автостроитель,русское
автосцепка,русское
автося,русское
автотомия,заимствованное
автотормоз,русское
автотракторный,русское
автотранспорт,русское
автотрасса,русское
автотренинг,заимствованное
автотуризм,русское
автотурист,русское
автофургон,русское
автохтон,заимствованное
автохтонный,заимствованное
автоцентр,русское
автошкола,русское
автоэлектронный,заимствованное
авуары,заимствованное
агад,заимствованное
агар,заимствованное
аггад,заимствованное
агглютинативный,заимствованное
агглютинация,заимствованное
агглютинировать,русское
агглютинирующие,русское
аггравация,заимствованное
агевзия,заимствованное
агевстие,заимствованное
агенд,заимствованное
агенезия,заимствованное
агент,заимствованное
агентирование,русское
агентския,заимствованное
агентство,заимствованное
агентура,заимствованное
агиография,заимствованное
агитатор,заимствованное
агитационный,заимствованное
агитация,заимствованное
агитбригада,русское
агитировать,заимствованное
агитмассовыя,русское
агитпоезд,русское
агитпроп,русское
агломерат,заимствованное
агломеративный,заимствованное
агломератный,заимствованное
агломерационный,заимствованное
агломерация,заимствованное
агнозия,заимствованное
агностик,заимствованное
агностицизм,заимствованное
агностическия,заимствованное
аговпитывающие,русское
агоизоляционный,русское
агональный,русское
агонизировать,русское
агония,заимствованное
аготерапия,русское
аграрий,русское
аграрник,русское
аграрный,заимствованное
аграф,русское
агрегат,заимствованное
агрегатный,заимствованное
агрегатор,заимствованное
агрегация,заимствованное
агрегирование,заимствованное
агрегировать,заимствованное
агрегироваться,русское
агреман,заимствованное
агрессивный,заимствованное
агрессия,заимствованное
агрессор,заимствованное
агрессорския,заимствованное
агрикультура,русское
агро,заимствованное
агробиолог,русское
агробиология,русское
агрокультура,русское
агрометеоролог,русское
агрометеорология,русское
агроминимум,русское
агроном,русское
агрономическия,заимствованное
агрономия,заимствованное
агропредприятие,русское
агропромышленный,русское
агросфера,заимствованное
агротехник,русское
агротуризм,заимствованное
агротурист,заимствованное
агротуристическия,заимствованное
агрофизика,русское
агрофирма,русское
агрохимик,русское
агрохимия,русское
агроэкологическия,заимствованное
агроэкология,заимствованное
агроэкосистема,заимствованное
адажио,заимствованное
адактилия,заимствованное
адаптационный,заимствованное
адаптация,заимствованное
адаптер,заимствованное
адаптивный,заимствованное
адаптированный,заимствованное
адаптировать,заимствованное
адаптироваться,заимствованное
адаптоген,заимствованное
адаптогенный,заимствованное
адапция,русское
адат,заимствованное
адвалорный,русское
адвективный,заимствованное
адвекционный,заимствованное
адвекция,заимствованное
адвентивный,заимствованное
адвербиализация,заимствованное
адвербиальный,заимствованное
адвертаизинг,заимствованное
адвокат,заимствованное
адвокатския,заимствованное
адвокатство,заимствованное
адвокатствовать,заимствованное
адвокатура,заимствованное
адгезивный,заимствованное
адгезионный,заимствованное
адгезировать,заимствованное
адгезироваться,заимствованное
адгезить,заимствованное
адгезия,заимствованное
аддикт,заимствованное
аддиктивный,заимствованное
аддикция,заимствованное
аддитивность,заимствованное
аддитивный,заимствованное
аддуктор,заимствованное
аддукторный,заимствованное
аддукционный,заимствованное
аддукция,заимствованное
адекватность,заимствованное
адекватный,заимствованное
аденовирус,заимствованное
аденовирусный,заимствованное
аденоид,заимствованное
аденоидный,заимствованное
аденома,заимствованное
аденомный,заимствованное
адепт,заимствованное
аджика,заимствованное
аджилить,заимствованное
адиабата,заимствованное
адиабатическия,заимствованное
адиабатный,заимствованное
адинамия,заимствованное
адиоантенна,русское
адиобуй,русское
адиобюро,русское
адиовещание,русское
адиодеталь,русское
адиодинамик,русское
адиожурнал,русское
адиожурналист,русское
адиоизотоп,русское
адиоимпульс,русское
адиоканал,русское
адиокомпания,русское
адиокомпас,русское
адиолокатор,русское
адиолокация,русское
адиомачта,русское
адиомаяк,русское
адиообнаружение,русское
адиопеленг,русское
адиопеленгатор,русское
адиопромышленность,русское
адиопротектор,русское
адиоразведка,русское
адиорелеиный,русское
адиорубка,русское
адиослужба,русское
адиослушатель,русское
адиоспектр,русское
адиотелеграфист,русское
адиотелеметрия,русское
адиотелескоп,русское
адиотелефон,русское
адиотехник,русское
адиоточка,русское
адиоузел,русское
адиоуправляемый,русское
адиоустановка,русское
адиофизик,русское
адиохимия,русское
адиоцентр,русское
адиочувствительность,русское
адиочувствительный,русское
адиоэкология,русское
адиоэлектро,русское
администр,русское
административнобюрократическия,русское
административноделиктный,русское
административноправовой,русское
административнопроцессуальный,русское
административнотерриториальный,русское
административноуправленческия,русское
административнохозяиственный,русское
административный,заимствованное
администратор,заимствованное
администраторския,заимствованное
администрация,заимствованное
администрирование,заимствованное
администрировать,заимствованное
адмирал,заимствованное
адмиралтеиство,русское
адмиральския,заимствованное
аднепроходноить,русское
аднепроходный,русское
адомазохизм,русское
адомазохист,русское
адообразующие,русское
адоптация,заимствованное
адоптивный,заимствованное
адоральный,заимствованное
адреналин,заимствованное
адреналиновыя,заимствованное
адреналовыя,заимствованное
адреноблокатор,заимствованное
адреноблокирующие,заимствованное
адренолитика,заимствованное
адренолитическия,заимствованное
адренорецептор,заимствованное
адрес,заимствованное
адресант,заимствованное
адресат,заимствованное
адресация,заимствованное
адресный,заимствованное
адресовать,заимствованное
адресоваться,заимствованное
адрон,заимствованное
адронный,заимствованное
адсорбент,заимствованное
адсорбер,русское
адсорбировать,заимствованное
адсорбционный,заимствованное
адсорбция,заимствованное
адъюнкт,заимствованное
адъюнктура,заимствованное
адъютант,заимствованное
адъютантския,заимствованное
ажио,заимствованное
ажиотаж,заимствованное
ажур,заимствованное
ажурный,заимствованное
аз,заимствованное
азан,заимствованное
азарт,заимствованное
азартный,заимствованное
азбука,русское
азбучный,русское
ази,заимствованное
азимут,заимствованное
азимутальный,заимствованное
азимутный,заимствованное
азия,русское
азновозрастноить,русское
азодоба,заимствованное
азодобыв,заимствованное
азодобывающие,русское
азодобыча,русское
азокислородный,русское
азокомпрессорный,русское
азональность,заимствованное
азональный,заимствованное
азоно,заимствованное
азоплазменный,русское
азопровый,русское
азопромысловыя,русское
азопроница,русское
азопроницаемый,русское
азоразведка,русское
азосиликатный,русское
азосодержащие,русское
азоспасательный,русское
азот,заимствованное
азотировать,русское
азотистый,заимствованное
азотный,заимствованное
азотоба,русское
азотобактерия,заимствованное
азотранспортный,русское
азу,заимствованное
аибреик,русское
аив,заимствованное
аивоенкомат,русское
аиворя,заимствованное
аида,русское
аидентик,заимствованное
аикидо,заимствованное
аикидоист,заимствованное
аилаинер,заимствованное
аилама,русское
аимодавец,русское
аиностроение,русское
аиран,заимствованное
аис,заимствованное
аисберг,заимствованное
аисинга,заимствованное
аисшток,заимствованное
аицентр,русское
акад,русское
академ,русское
академеть,русское
академизм,заимствованное
академик,заимствованное
академическия,заимствованное
академичный,заимствованное
академия,заимствованное
акант,русское
акапельный,заимствованное
акафист,заимствованное
аква,заимствованное
аквааэробика,заимствованное
аквабаик,заимствованное
акваланг,заимствованное
аквалангист,русское
аквамарин,заимствованное
аквамариновыя,заимствованное
акванавт,заимствованное
аквапарк,заимствованное
акварель,заимствованное
акварельный,заимствованное
аквариум,заимствованное
акватлонистый,заимствованное
акватлоно,заимствованное
акватория,заимствованное
аквашуза,заимствованное
акведук,заимствованное
акинезия,заимствованное
аккаунт,заимствованное
аккламация,заимствованное
акклиматизатор,русское
акклиматизация,заимствованное
акклиматизировать,заимствованное
акклиматизироваться,заимствованное
аккомодация,заимствованное
аккомодировать,русское
аккомодироваться,русское
аккомпанемент,заимствованное
аккомпаниатор,заимствованное
аккомпанировать,заимствованное
аккорд,заимствованное
аккордеон,заимствованное
аккордеонист,заимствованное
аккордный,русское
аккредитация,заимствованное
аккредитив,заимствованное
аккредитивный,заимствованное
аккредитовать,русское
аккредитоваться,русское
аккультурация,русское
аккумулировать,заимствованное
аккумулироваться,русское
аккумулятор,заимствованное
аккумуляционный,заимствованное
аккумуляция,заимствованное
аккуратность,заимствованное
аккуратный,заимствованное
акмеология,заимствованное
акна,заимствованное
акобетон,русское
акобнуть,русское
акр,русское
акредитация,русское
акредитив,русское
акрил,заимствованное
акрилата,заимствованное
акрилатный,заимствованное
акриловыя,заимствованное
акрихин,русское
акробат,заимствованное
акробатика,заимствованное
акробатическия,заимствованное
акроним,заимствованное
акрообъект,русское
акрополь,русское
акростих,заимствованное
акростритер,заимствованное
акрострить,заимствованное
акроструктура,русское
акрофобия,заимствованное
акроэкономика,русское
аксакал,заимствованное
акселерат,русское
акселератор,заимствованное
акселерация,заимствованное
аксель,заимствованное
аксельбант,заимствованное
аксессуар,заимствованное
аксиологическия,заимствованное
аксиология,заимствованное
аксиома,заимствованное
аксиоматика,заимствованное
аксиоматическия,заимствованное
аксиоматичный,заимствованное
аксон,заимствованное
аксонометрия,заимствованное
акт,заимствованное
актерския,русское
актив,заимствованное
активатор,русское
активационный,заимствованное
активация,заимствованное
активизация,заимствованное
активизировать,заимствованное
активизироваться,русское
активизм,русское
активирование,русское
активировать,заимствованное
активист,заимствованное
активность,заимствованное
активный,заимствованное
актиний,заимствованное
актировать,заимствованное
актовыя,заимствованное
актор,русское
актуализация,заимствованное
актуализировать,заимствованное
актуализироваться,русское
актуальный,заимствованное
актуарий,заимствованное
актуатор,заимствованное
актуаторный,заимствованное
акть,русское
актёр,заимствованное
актёрствовать,заимствованное
акула,заимствованное
акупунктура,заимствованное
акупунктурный,заимствованное
акустик,русское
акустика,заимствованное
акустическия,заимствованное
акушер,заимствованное
акушерка,заимствованное
акушерство,заимствованное
акцент,заимствованное
акцентировать,заимствованное
акцентный,заимствованное
акцентуация,заимствованное
акцепт,заимствованное
акцептант,заимствованное
акцептирование,заимствованное
акцептировать,русское
акцептовать,русское
акцептор,заимствованное
акцепторный,заимствованное
акцессионный,заимствованное
акцессия,заимствованное
акцессорный,заимствованное
акцидентный,русское
акциденция,заимствованное
акциз,заимствованное
акцизирование,заимствованное
акцизный,заимствованное
акционер,заимствованное
акционерный,заимствованное
акционизм,заимствованное
акционировать,русское
акционист,заимствованное
акционный,заимствованное
акция,заимствованное
алаконцерт,русское
алармизм,заимствованное
алармист,заимствованное
алгебра,заимствованное
алгебраическия,заимствованное
алгоритм,заимствованное
алгоритмизация,русское
алгоритмизировать,русское
алгоритмизь,русское
алгоритмическия,заимствованное
алдемократия,русское
алебастр,заимствованное
алебастровыя,заимствованное
алелитеиный,русское
алиби,заимствованное
алиментарный,заимствованное
алиментный,заимствованное
алименты,заимствованное
алитирование,заимствованное
алифатическия,заимствованное
алициклическия,заимствованное
алкалоид,русское
алкоголизация,заимствованное
алкоголизм,заимствованное
алкоголик,русское
алкоголь,заимствованное
алкогольный,заимствованное
алкотестер,заимствованное
аллегорическия,заимствованное
аллегоричный,заимствованное
аллегория,заимствованное
аллегретто,заимствованное
аллегро,заимствованное
аллелопатия,заимствованное
аллель,заимствованное
аллерген,заимствованное
аллергенность,заимствованное
аллергенный,заимствованное
аллергическия,заимствованное
аллергичный,заимствованное
аллергия,заимствованное
аллерголог,русское
аллергология,заимствованное
аллея,заимствованное
аллилуий,заимствованное
аллитерация,заимствованное
алло,заимствованное
аллогенез,заимствованное
аллоемкия,русское
аллокация,заимствованное
алломорфоз,заимствованное
аллопатия,заимствованное
аллопластик,заимствованное
аллопластическия,заимствованное
аллопокрытие,русское
аллопрокатный,русское
аллорежущие,русское
аллотропия,заимствованное
аллотропный,заимствованное
аллювиальный,заимствованное
аллювий,заимствованное
аллюзия,заимствованное
аллюр,заимствованное
алма,русское
алмаз,заимствованное
алмазный,заимствованное
ало,заимствованное
алоавторитетный,русское
алогизм,заимствованное
алогическия,русское
алогичный,русское
алоговорящие,русское
алодостоверный,русское
алозаселенный,русское
алозатратный,русское
алоисследованный,русское
алокультурный,русское
алонаселенный,русское
алообеспеченный,русское
алоосвоенный,русское
алоотходный,русское
алопеция,заимствованное
алопродуктивный,русское
алопроизводительный,русское
алоско,заимствованное
алосодержательный,русское
алосознательный,русское
алосущественный,русское
алоуглеродный,русское
алоупотребительный,русское
алоуспешный,русское
алочувствительный,русское
алоэ,русское
алоэффективный,русское
алтарь,заимствованное
алунит,русское
алфавит,заимствованное
алчность,русское
алчный,русское
алыча,заимствованное
альбедо,заимствованное
альбинизм,заимствованное
альбинос,заимствованное
альбом,заимствованное
альбомный,заимствованное
альбумин,заимствованное
альвеола,заимствованное
альвеолярный,заимствованное
альдегид,заимствованное
альков,заимствованное
альма,заимствованное
альмана,русское
альманах,заимствованное
альманди,русское
альмандин,русское
альпеншток,заимствованное
альпииския,русское
альпинизм,заимствованное
альпинист,заимствованное
альт,заимствованное
альтер,заимствованное
альтерация,заимствованное
альтернатива,заимствованное
альтернативный,заимствованное
альтернация,заимствованное
альтиметр,русское
альтист,заимствованное
альтитуда,заимствованное
альтобетон,русское
альтовыя,заимствованное
альтоукладчик,русское
альтруизм,заимствованное
альтруист,заимствованное
альтруистическия,русское
альтруистичный,русское
альфа,заимствованное
альфалуч,заимствованное
альфараспад,русское
альфачастить,русское
альфонс,заимствованное
альфреско,заимствованное
альянс,заимствованное
алюмель,русское
алюминиевыя,русское
алюминий,заимствованное
ама,заимствованное
амальгама,заимствованное
амальгамация,русское
амальгамировать,русское
амбар,русское
амбарный,русское
амбивалентность,заимствованное
амбивалентный,заимствованное
амбидекстр,заимствованное
амбидекстрия,заимствованное
амбиента,заимствованное
амбиентный,заимствованное
амбиполярный,заимствованное
амбить,заимствованное
амбициозный,заимствованное
амбиция,заимствованное
амблиопия,заимствованное
амбразура,заимствованное
амбре,заимствованное
амбулатория,заимствованное
амбулаторный,заимствованное
амбушюр,заимствованное
амвон,заимствованное
амегаситель,русское
аменорея,заимствованное
америка,русское
американец,русское
американизировать,русское
американизироваться,русское
американизм,русское
американка,русское
американския,русское
америкать,заимствованное
америций,заимствованное
аметист,заимствованное
аметистовыя,заимствованное
аметропия,заимствованное
амидопирин,русское
амилаза,заимствованное
амин,заимствованное
аминазин,русское
аминь,заимствованное
амиотрофия,заимствованное
амкружо,заимствованное
аммаглобулин,русское
аммаустановка,русское
аммиак,заимствованное
аммиачный,заимствованное
аммонал,русское
аммоний,заимствованное
аммонит,заимствованное
аммофос,заимствованное
амнедробилка,русское
амнедробильный,русское
амнезия,заимствованное
амнестическия,заимствованное
